seed,dataset,model,query_id,latency_ms,metric_name,metric_value,backend
7,synthetic_research_collection,dense_exact,s7_q000,126.229,ndcg@3,0.7039,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q000,126.229,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q000,126.229,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q000,126.229,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q001,50.728,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q001,50.728,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q001,50.728,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q001,50.728,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q002,52.096,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q002,52.096,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q002,52.096,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q002,52.096,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q003,51.313,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q003,51.313,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q003,51.313,ndcg@3,0.7039,cross_encoder
7,synthetic_research_collection,hybrid,s7_q003,51.313,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q004,51.692,ndcg@3,0.2961,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q004,51.692,ndcg@3,0.2346,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q004,51.692,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q004,51.692,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q005,51.891,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q005,51.891,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q005,51.891,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q005,51.891,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q006,51.642,ndcg@3,0.4693,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q006,51.642,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q006,51.642,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q006,51.642,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q007,51.726,ndcg@3,0.2346,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q007,51.726,ndcg@3,0.2961,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q007,51.726,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q007,51.726,ndcg@3,0.2961,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q008,52.047,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q008,52.047,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q008,52.047,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q008,52.047,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q009,107.666,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q009,107.666,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q009,107.666,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,hybrid,s7_q009,107.666,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q010,58.85,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q010,58.85,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q010,58.85,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q010,58.85,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q011,53.378,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q011,53.378,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q011,53.378,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q011,53.378,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q012,52.621,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q012,52.621,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q012,52.621,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q012,52.621,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q013,51.602,ndcg@3,0.2961,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q013,51.602,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q013,51.602,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q013,51.602,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q014,51.483,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q014,51.483,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q014,51.483,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q014,51.483,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q015,53.131,ndcg@3,0.7039,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q015,53.131,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q015,53.131,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q015,53.131,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q016,52.588,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q016,52.588,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q016,52.588,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q016,52.588,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q017,51.925,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q017,51.925,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q017,51.925,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q017,51.925,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q018,51.181,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q018,51.181,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q018,51.181,ndcg@3,0.7039,cross_encoder
7,synthetic_research_collection,hybrid,s7_q018,51.181,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q019,51.938,ndcg@3,0.2961,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q019,51.938,ndcg@3,0.2346,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q019,51.938,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q019,51.938,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q020,51.56,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q020,51.56,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q020,51.56,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q020,51.56,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q021,51.37,ndcg@3,0.4693,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q021,51.37,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q021,51.37,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q021,51.37,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q022,51.059,ndcg@3,0.2346,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q022,51.059,ndcg@3,0.2961,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q022,51.059,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q022,51.059,ndcg@3,0.2961,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q023,51.823,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q023,51.823,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q023,51.823,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q023,51.823,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q000,51.261,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q000,51.261,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q000,51.261,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,hybrid,s11_q000,51.261,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q001,51.988,ndcg@3,0.4693,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q001,51.988,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q001,51.988,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q001,51.988,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q002,52.052,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q002,52.052,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q002,52.052,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q002,52.052,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q003,51.906,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q003,51.906,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q003,51.906,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q003,51.906,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q004,53.446,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q004,53.446,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q004,53.446,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q004,53.446,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q005,52.17,ndcg@3,0.2961,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q005,52.17,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q005,52.17,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q005,52.17,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q006,104.293,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q006,104.293,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q006,104.293,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q006,104.293,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q007,59.92,ndcg@3,0.2346,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q007,59.92,ndcg@3,0.2346,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q007,59.92,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,hybrid,s11_q007,59.92,ndcg@3,0.2346,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q008,52.61,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q008,52.61,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q008,52.61,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,hybrid,s11_q008,52.61,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q009,54.137,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q009,54.137,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q009,54.137,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q009,54.137,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q010,52.872,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q010,52.872,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q010,52.872,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q010,52.872,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q011,53.718,ndcg@3,0.2346,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q011,53.718,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q011,53.718,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q011,53.718,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q012,53.312,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q012,53.312,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q012,53.312,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q012,53.312,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q013,53.361,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q013,53.361,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q013,53.361,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q013,53.361,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q014,51.847,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q014,51.847,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q014,51.847,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q014,51.847,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q015,51.926,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q015,51.926,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q015,51.926,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,hybrid,s11_q015,51.926,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q016,52.466,ndcg@3,0.4693,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q016,52.466,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q016,52.466,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q016,52.466,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q017,54.766,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q017,54.766,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q017,54.766,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q017,54.766,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q018,53.218,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q018,53.218,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q018,53.218,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q018,53.218,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q019,52.161,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q019,52.161,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q019,52.161,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q019,52.161,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q020,53.157,ndcg@3,0.2961,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q020,53.157,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q020,53.157,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q020,53.157,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q021,52.123,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q021,52.123,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q021,52.123,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q021,52.123,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q022,52.878,ndcg@3,0.2346,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q022,52.878,ndcg@3,0.2346,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q022,52.878,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,hybrid,s11_q022,52.878,ndcg@3,0.2346,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q023,52.407,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q023,52.407,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q023,52.407,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,hybrid,s11_q023,52.407,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q000,51.131,ndcg@3,0.2346,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q000,51.131,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q000,51.131,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q000,51.131,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q001,51.114,ndcg@3,0.2961,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q001,51.114,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q001,51.114,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,hybrid,s19_q001,51.114,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q002,51.249,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q002,51.249,ndcg@3,0.2961,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q002,51.249,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q002,51.249,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q003,53.504,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q003,53.504,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q003,53.504,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q003,53.504,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q004,52.689,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q004,52.689,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q004,52.689,ndcg@3,0.7654,cross_encoder
19,synthetic_research_collection,hybrid,s19_q004,52.689,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q005,50.716,ndcg@3,0.2346,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q005,50.716,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q005,50.716,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q005,50.716,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q006,52.23,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q006,52.23,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q006,52.23,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q006,52.23,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q007,51.897,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q007,51.897,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q007,51.897,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q007,51.897,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q008,51.026,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q008,51.026,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q008,51.026,ndcg@3,0.2961,cross_encoder
19,synthetic_research_collection,hybrid,s19_q008,51.026,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q009,52.325,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q009,52.325,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q009,52.325,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q009,52.325,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q010,52.245,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q010,52.245,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q010,52.245,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,hybrid,s19_q010,52.245,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q011,51.703,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q011,51.703,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q011,51.703,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q011,51.703,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q012,52.616,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q012,52.616,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q012,52.616,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q012,52.616,ndcg@3,0.7654,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q013,51.843,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q013,51.843,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q013,51.843,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q013,51.843,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q014,52.728,ndcg@3,0.2346,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q014,52.728,ndcg@3,0.7654,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q014,52.728,ndcg@3,0.7654,cross_encoder
19,synthetic_research_collection,hybrid,s19_q014,52.728,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q015,51.59,ndcg@3,0.2346,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q015,51.59,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q015,51.59,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q015,51.59,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q016,51.699,ndcg@3,0.2961,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q016,51.699,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q016,51.699,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,hybrid,s19_q016,51.699,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q017,51.468,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q017,51.468,ndcg@3,0.2961,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q017,51.468,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q017,51.468,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q018,52.005,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q018,52.005,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q018,52.005,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q018,52.005,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q019,52.3,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q019,52.3,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q019,52.3,ndcg@3,0.7654,cross_encoder
19,synthetic_research_collection,hybrid,s19_q019,52.3,ndcg@3,0.4693,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q020,50.504,ndcg@3,0.2346,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q020,50.504,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q020,50.504,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q020,50.504,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q021,51.608,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q021,51.608,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q021,51.608,ndcg@3,1.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q021,51.608,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q022,52.722,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q022,52.722,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q022,52.722,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,hybrid,s19_q022,52.722,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,dense_exact,s19_q023,51.226,ndcg@3,0.0,sentence_transformer
19,synthetic_research_collection,cross_encoder,s19_q023,51.226,ndcg@3,0.0,cross_encoder
19,synthetic_research_collection,late_interaction,s19_q023,51.226,ndcg@3,0.2961,cross_encoder
19,synthetic_research_collection,hybrid,s19_q023,51.226,ndcg@3,1.0,cross_encoder
